SKU,item_name,jan_net_sales,feb_net_sales,mar_net_sales,apr_net_sales,may_net_sales,jun_net_sales,jul_net_sales,aug_net_sales,sep_net_sales,oct_net_sales,nov_net_sales,dec_net_sales,total_net_sales,category
A24980,"SOY SAUCE, KIKK 1.8L /6",2089.92,1653.12,1968.96,2103.36,2472.96,2231.04,2802.24,2681.28,2311.68,1747.2,2573.76,2479.68,27115.2,GG
200242,"CHICKEN, BREAST BNLS/SKNLS/40#",2583.18,1245.87,1539.24,1950.72,2903.22,2106.93,1783.08,2781.3,1645.92,2438.4,2514.6,3284.22,26776.68,GM
CPC26574,"MAYONNAISE, BF 1GAL",2232.1,2442.18,3229.98,3203.72,3124.94,0,1418.04,3361.28,1470.56,1680.64,1155.44,3413.8,26732.68,GG
106C,"SODA, COKE ZERO 12oz/24",3736.72,1603.68,2444,1901.12,745.68,3200.08,4213.04,2158,0,0,2771.6,3896.88,26670.8,GB
200103,"FISH, GALUNGONG (ROUND SCAD)",2568.64,2334.81,1800.84,2299.91,1734.53,1619.36,3957.66,1221.5,2230.11,2401.12,2380.18,2027.69,26576.35,GM
GP35,"LETTUCE, ICEBERG CELLO",2758.9,2133.8,2314.75,2577.95,2183.15,1647.35,1435.85,2035.1,1952.85,1851.8,2037.45,3560.25,26489.2,GP
GP37,"LETTUCE, GREEN LEAF 25#",2359.11,2565.42,2197.65,1779.05,2185.69,2305.29,1584.7,1946.49,1324.57,2580.37,2305.29,3223.22,26356.85,GP
200530+,"BEEF, STRIPLOIN COMMON",2436.85,1928.55,1076.4,1749.15,1988.35,1883.7,2063.1,1420.25,1405.3,1584.7,2586.35,5875.35,25998.05,GM
SIA-020,"TUNA, COCO LIGHT MEAT 2.75OZ/48",2241.47,1785.63,2366.21,2371.6,2135.98,2129.82,2440.13,2028.95,2366.98,1797.18,1975.82,2028.95,25668.72,GG
GP101,"GRAPES, GREEN SEEDLESS LB",3544.97,2241.46,2698.41,1972.1,981.24,1394.9,1221.74,1322.75,1741.22,2717.65,2467.53,2833.09,25137.06,GP
JHK80374,"CHIPS, TAKIS BLUE HEAT 9.9oz/14",2447.24,2050.99,2602.57,1949.55,1283.85,713.25,2792.77,2897.38,2031.97,1664.25,2653.29,1705.46,24792.57,GG
JHK16016,"PAPER TOWEL, MULTIFOLD 250CT/16",3303.3,1974.72,540.87,348.48,1695.21,1829.52,4849.68,729.63,5288.91,929.28,769.56,2475.66,24734.82,GN
GP95,"APPLES, FUJI EXTRA FANCY 80-88",2308.4,2027.81,2921.32,2081.54,1104.45,1966.12,1729.31,2115.37,1488.52,2330.29,2280.54,2338.25,24691.92,GP
EL004611,"POKKA, BLUEBERRY TEA PET 500m/24",1638,1660.05,1964.55,1992.9,2689.05,2285.85,1744.05,3080.7,1643.25,2047.5,2164.05,1728.3,24638.25,GB
EL18361,"POKKA, STRAWBERRY TEA 500ml/24",1487.85,946.05,2018.1,2005.5,2845.5,3661.35,2280.6,2723.7,2370.9,1.05,2354.1,1853.25,24547.95,GB
06-36354,"DOG FOOD, EED ALL AGES 16lbs/1",3034.68,2643.85,275.88,1540.33,2138.07,1609.3,2551.89,3195.61,2321.99,1678.27,1678.27,1862.19,24530.33,GN
1709,"CHIPS, DORITOS CLR RANCH 7oz/8",1599.65,1765.5,1899.25,2075.8,2022.3,1958.1,2316.55,2343.3,2000.9,1867.15,2006.25,2610.8,24465.55,GG
CJC002,"SUGAR, CHEIL ""WHITE SNOW"" 1kg/16",2316.8,1703.21,2003.67,2381.96,2240.78,2032.63,2562.96,2032.63,738.48,1192.79,1956.61,3299.63,24462.15,GG
103E,"SODA, PEPSI CHERRY 12oz/24",3112.2,1780.8,1704.15,327.6,1040.55,1450.05,2910.6,2772,2354.1,399,4312.35,2295.3,24458.7,GB
200531,"BEEF, STRIPLOIN NEW YORK STEAK",2436.85,1943.5,1076.4,1734.2,1988.35,1883.7,2063.1,1420.25,1405.3,1599.65,2571.4,4215.9,24338.6,GM
EL847858,"POCARI SWEAT, ISOTONIC 500ml/24",2201.5,2191.98,2817.92,693.77,0,2876.23,4048.38,3145.17,589.05,1407.77,962.71,3358.18,24292.66,GB
200506+,"BEEF, KNUCKLES COMMON",0,993.6,2449.5,1669.8,1766.4,1966.5,1994.1,1821.6,2760,4098.6,0,4595.4,24115.5,GM
JHK01003,"SALT, MORTON IODIZED 26OZ/24",2162.82,2305.2,1525.5,1930.04,2117.62,2045.3,2415.94,1961.68,1984.28,2043.04,1496.12,2074.68,24062.22,GG
ZUS845813,"DRINK, KOOLAID JAMMERS VRTY 10ct",2027.16,1504.44,1809.54,1977.48,2160.54,1633.5,1520.64,1986.12,1744.74,2810.7,2321.46,2454.3,23950.62,GB
200574,"BEEF, SHORTRIBS RIB FINGERS BNLS",1897.2,505.92,548.08,1507.22,1275.34,1949.9,347.82,1064.54,4447.88,1064.54,2592.84,6619.12,23820.4,GM
CPC21335,"MAYONNAISE, BF 15oz/12",1611.6,1550.4,1819.68,1950.24,1758.48,1966.56,2113.44,2031.84,2252.16,1925.76,1831.92,2782.56,23594.64,GG
200504,"BEEF, CHUCK CHOP STEAK",1184.05,2179.05,3313.35,2547.2,1810.9,258.7,865.65,3114.35,1343.25,1552.2,3373.05,2039.75,23581.5,GM
PW02,"WATER, PALAU 500ML/24",1279.95,1563.54,3002.88,2340.48,2770.35,1460.73,2317.71,2264.58,1493.85,1551.12,2611.65,917.7,23574.54,GB
LP21,"NAPPA, LOCAL IN BAG SM",2629.64,2207.14,1923.22,1804.92,1837.03,1683.24,1438.19,1632.54,1994.2,1690,1838.72,2602.6,23281.44,GP
200135,"FISH, MILKFISH 600-800GR",395.85,1004.85,1265.85,896.1,1579.05,1548.6,3558.3,2409.9,2340.3,2301.15,2531.7,3275.55,23107.2,GM
FLX7106545,"CHICKEN, WINGETTES SUN IQF 4#/10",2312.75,2998.6,2488.2,1770.45,2233,3237.85,1595,0,0,430.65,2105.4,3780.15,22952.05,GM
HOR09296,"BEEF HASH, MK 14oz/12",2477.52,2823.48,1662.84,1636.8,1908.36,1793.04,1908.36,1633.08,1428.48,2083.2,2246.88,1238.76,22840.8,GG
06-83108,"VEGETABLE OIL, EED 128oz/4",4966.72,292.16,2665.96,2008.6,2812.04,383.46,1807.74,1479.06,1698.18,1241.68,1990.34,1479.06,22825,GG
LZ-A-SH08-3,"PLATE, BIO 50ct 8"" 3 CMP HINGED",904.7,1297.1,1318.9,1635,1787.6,2103.7,1885.7,2496.1,2943,2289,2834,1133.6,22628.4,GN
200642,"BEEF, GROUND BISTRO 5#/8 73%",2052,1824,1368,2023.5,484.5,0,2308.5,1596,1767,1710,1824,5472,22429.5,GM
06-23046,"DOG FOOD, SHOP VALUE 15lbs/1",1310.31,1899,2544.66,1025.46,2582.64,2525.67,1386.27,0,569.7,2620.62,2924.46,3019.41,22408.2,GN
ZUS990005686,"BATH TISSUE, MM MEGA 9ROLL/5",1452.63,1015.66,1984.08,3176.89,1594.35,885.75,1688.83,4452.37,59.05,0,3897.3,2078.56,22285.47,GN
EL12531,"POKKA, STRAWBERRY MILK 240ml/30",1009.47,0,2358.42,2018.25,2159.01,1671.87,2169.36,2508.15,2612.34,1751.91,1802.97,2214.9,22276.65,GB
6960,"CHIPS, CHEETOS CRUNCHY HOT 8z/10",1220.8,1853,1825.75,1880.25,839.3,2087.35,2457.95,1673.15,1825.75,2321.7,1744,2496.1,22225.1,GG
200267,"CHICKEN, STEWING PER LB",2225.04,2105.66,2131.06,2148.84,1183.64,1008.38,1483.36,772.16,1724.66,1778,2842.26,2598.42,22001.48,GM
NIS51,"RAMEN, CUP NISSIN BEEF 60g/36",1596.95,2076.7,1651.1,2757.85,1178.95,1957,836,2456.7,1700.5,1452.55,2103.3,2192.6,21960.2,GG
FLX2201346,"FVG, FRIES SHOESTRING 4.5#/6",2421.05,2102.18,2113.99,1771.5,454.75,2527.34,593.85,2928.88,1830.55,1712.45,2173.04,1322.72,21952.3,GF
ZUC1660437,"COFFEE, FOLGERS BREW 43.5oz",2733.15,2254.35,1017.45,1236.9,937.65,1755.6,1955.1,2633.4,2493.75,239.4,299.25,4369.05,21925.05,GB
FLX7327001,"CHICKEN, THIGHS B/IN 40#/1",1735.72,1549.75,1611.74,247.96,3037.51,3037.51,2293.63,805.87,0,1115.82,3037.51,3285.47,21758.49,GM
A0022,"TUNA, FUJISAN IN OIL 7oz/48",2230.1,2672.35,2204,1898.05,1502.2,1661.7,1719.7,1177.4,1651.55,1487.7,1841.5,1448.55,21494.8,GG
JHK30302,"CREAMER, COFFEE-MATE 35.3oz/6",1611.24,2148.32,2379.82,1574.2,1861.26,2111.28,1666.8,1481.6,1370.48,1333.44,1898.3,1814.96,21251.7,GB
75978,"HOTDOG, BAR-S BEEF JUMBO 16OZ/12",1771.44,1372.14,1611.72,1248.72,2159.7,2032.8,1108.02,2011.02,1205.16,1495.56,2025.54,3114.54,21156.36,GF
JHK09912,"MILK, GOSSNER 2% RF CHOC 8z/27",1853.45,1758.45,1630.2,1501.95,1382.25,1741.35,1560.85,1769.85,1595.05,1721.4,1649.2,2850.95,21014.95,GB
200643,"BEEF, GROUND CHUCK LB/10#",5103.48,0,0,856.57,4462.55,5.99,0,1904.82,1443.59,1713.14,2390.01,3048.91,20929.06,GM
A24990,"SOY SAUCE, KIKK FANCY 500ml/12",1503.84,1583.37,1433.95,1838.83,1884.62,1940.05,2156.95,1737.61,1715.92,1597.83,1633.98,1829.19,20856.14,GG
1501,"MILK, CARNATION EVAPORATED 12oz",534.1,2565.15,1614.55,977.55,1565.55,2832.2,2729.3,142.1,1198.05,2131.5,3079.65,1452.85,20822.55,GB
HOR46454,"BEEF HASH, MK 7.5oz/12",1275.04,1526.72,1557.92,1555.84,1915.68,2000.96,1805.44,2096.64,1765.92,2111.2,838.24,1969.76,20419.36,GG
JHK40463,"DET, ROMA  PWD 11.2LBS/4",1618.05,1463.95,1910.84,1602.64,1802.97,1232.8,1510.18,1818.38,1818.38,1510.18,1787.56,2265.27,20341.2,GN
FLX7690235,"CHICKEN, WINGS MIS-CUT 40#/1",1336.23,1718.01,1590.75,1781.64,1781.64,1590.75,1654.38,1781.64,1781.64,1463.49,1590.75,2036.16,20107.08,GM
