SKU,item_name,jan_net_sales,feb_net_sales,mar_net_sales,apr_net_sales,may_net_sales,jun_net_sales,jul_net_sales,aug_net_sales,sep_net_sales,oct_net_sales,nov_net_sales,dec_net_sales,total_net_sales,category
BIG03,"HAIR COLOR, BIGEN PWDR CHSTNTBRN",49.72,42.94,40.68,40.68,63.28,38.42,76.84,47.46,56.5,49.72,65.54,131.08,702.86,GH
ZUC422483,"CHIPS, HAWAIIAN KTTL VAR 1.5z/30",0,0,0,201.6,14.4,0,84.6,76.5,0,0,204.3,120.6,702,GG
GBI00258,"JUICE, KWANGDONG VITA 500 100ml",98.1,64.8,18.9,0,1.8,63.9,113.4,0,110.7,101.7,81,47.7,702,GB
EL1209,"SHAVER, BIC SENSITIVE 5ct/40",35.1,106.65,120.15,78.3,45.9,24.3,81,58.05,37.8,31.05,45.9,37.8,702,GH
18-62206,"LOTION, PALMER MOIST 8.5oz/3",77.94,64.95,51.96,77.94,103.92,51.96,12.99,38.97,38.97,90.93,38.97,51.96,701.46,GH
ZUC404609,"FOIL PAN, CATERING HALF SIZE",0,0,0,76.95,92.34,34.83,59.94,35.64,74.52,158.76,24.3,144.18,701.46,GN
ZUS55874,"CHOCOLATE, HERSHEY MILK KING/18",6.78,6.78,0,126.56,124.3,51.98,131.08,13.56,0,0,0,239.56,700.6,GG
BIG04,"HAIR COLOR, BIGEN POWDER BRN/BLK",40.68,29.38,61.02,31.64,29.38,65.54,61.02,31.64,85.88,90.4,65.54,108.48,700.6,GH
TP15,"PASSION FRUIT, TAIWAN",125.1,79.23,41.7,116.76,0,137.61,0,83.4,0,0,100.08,16.68,700.56,GP
ZUS980175358,"SPICE, MM BLACK PEPPER 18oz REST",198.55,125.4,0,0,0,376.2,0,0,0,0,0,0,700.15,GG
WL009,"SNACK, WL CORN TUBE SPCY CHS 60g",121.8,18.2,10.5,0,126.7,2.8,0,121.1,97.3,109.55,22.75,69.3,700,GG
GBI68868,"JUICE, PALDO WTR JLY GRPE 120ML",24.84,62.64,133.92,69.12,64.8,31.32,16.2,28.08,28.08,77.76,48.6,114.48,699.84,GB
PNG03753,"DEOD, OS RC SWAGGER 3oz/12",0,26.3,131.5,68.38,84.16,63.12,5.26,10.52,63.12,78.9,78.9,89.42,699.58,GH
123180,"SOY SAUCE, KIKK LESS SLT 750ml/6",9.98,14.97,64.87,59.88,54.89,104.79,54.89,89.82,54.89,94.81,39.92,54.89,698.6,GG
MAX06,"CANDY, MAXX HONEYMANSI 50g/40",52.65,40.95,30.42,83.07,72.54,46.8,0,65.52,44.46,64.35,74.88,122.85,698.49,GG
DGEBOXCAKE1,"CAKE BOX, W/BOARD 12X12X5",2.26,0,0,0,9.04,0,0,0,0,4.52,682.52,0,698.34,GN
17-51321,"YOGURT, CHIOBANI PEACH FOB 5.3oz",31.64,65.54,126.56,36.16,36.16,56.5,97.18,27.12,81.36,54.24,36.16,49.72,698.34,GC
ZUC1562641,"CONTAINER, RECT 38oz-50ct V-S/3",279.3,59.85,39.9,39.9,0,99.75,19.95,0,19.95,59.85,0,79.8,698.25,GN
39-45843,"SYRUP, TORANI FRENCH VAN 12.7z",0,0,0,0,16.62,5.54,5.54,321.32,299.16,5.54,33.24,11.08,698.04,GG
99014,"PUMPKIN SEEDS, DAVID 2.25OZ/12",35.25,28.2,44.65,11.75,35.25,84.6,79.9,25.85,70.5,82.25,133.95,65.8,697.95,GG
Q06354,"CEREAL, QUAKER LIFE ORIG 13oz/12",49.05,54.5,59.95,76.3,43.6,76.3,43.6,59.95,218,16.35,0,0,697.6,GG
JCS240746,"COOKIES, BAUDUCCO MARIA 7.06z",0,0,36.25,84.1,94.25,63.8,69.6,104.4,0,21.75,117.45,105.85,697.45,GG
88-02930,"LIQUID IV HYDRATION, TANGERINE",32.55,13.02,52.08,108.5,26.04,149.73,34.72,93.31,0,60.76,65.1,60.76,696.57,GI
SPEED09,"HAIR COLOR, SPEEDY DRK BRWN 1ct",29.85,109.45,19.9,59.7,79.6,69.65,9.95,89.55,29.85,49.75,39.8,109.45,696.5,GH
32-06620,"CANDY, SKITTLES ORIG 15.6z/6",0,41.3,129.8,70.8,76.7,29.5,0,35.4,165.2,53.1,29.5,64.9,696.2,GG
JCS110701,"CANDY, SOUR FRUITY TUBES PWDR/24",0,0,105.3,83.85,122.85,91.65,87.75,58.5,72.15,39,35.1,0,696.15,GG
PNG61111,"CHARMIN, ULTRA STRONG MEGA 6rl/3",24.86,12.43,111.87,87.01,74.58,111.87,149.16,111.87,0,12.43,0,0,696.08,GN
ZUS980357653,"BAG, MM INSULATED SHOPPER",0,50.85,67.8,84.75,118.65,67.8,33.9,84.75,84.75,50.85,33.9,16.95,694.95,GN
17-53065,"CREAMER, CM MOCHA CAFE 16oz/6",68.1,13.62,104.42,59.02,63.56,36.32,77.18,81.72,40.86,36.32,45.4,68.1,694.62,GC
17-01284,"CHEESE, EED SHARP CHDR BLEND 8oz",61.94,26.08,94.54,48.9,55.42,74.98,32.6,123.88,9.78,29.34,101.06,35.86,694.38,GC
GH61000818,"T/PASTE, COL SNSITIVE MULTI 110g",0,0,28.92,72.3,130.14,43.38,14.46,65.07,93.99,115.68,130.14,0,694.08,GH
17-53783,"YOGURT, YOPLAIT FRNCH VAN 6oz/12",60.75,60.75,98.55,55.35,93.15,66.15,66.15,45.9,37.8,29.7,44.55,35.1,693.9,GC
PNG44982,"MOUTHWASH, CREST PROCLMNT33.8z/6",52.78,52.78,98.02,52.78,22.62,45.24,60.32,30.16,60.32,52.78,67.86,98.02,693.68,GH
BG982548,"TRASH BAG, RUFFIES SCNTD 4g-70ct",99.8,14.97,0,0,89.82,29.94,0,19.96,64.87,54.89,169.66,149.7,693.61,GN
SAN104,"TUNA, SAN MARINO CORNED CHLI150g",65.34,85.14,97.02,110.88,27.72,49.5,19.8,90.09,52.47,42.57,52.47,0,693,GG
KEL21001,"CEREAL, KEL FRSTDFLAKES 21.7z/12",0,0,0,0,0,0,69.24,138.48,115.4,207.72,161.56,0,692.4,GG
MBI28475,"CHIPS, DORITOS FLAMING HOT 11z/7",134.85,53.94,89.9,89.9,125.86,26.97,107.88,62.93,0,0,0,0,692.23,GG
34-25221,"OATMEAL, QKR INT MBS 12.1oz/12",55.92,76.89,90.87,34.95,48.93,69.9,62.91,62.91,6.99,55.92,55.92,69.9,692.01,GG
FRYPOP400,"CRACKERS, FRY&POP ONION&GRLC400g",26.3,52.6,52.6,57.86,78.9,84.16,44.71,34.19,71.01,13.15,118.35,57.86,691.69,GG
ZUS106385,"FLOOR CLEANER, MM NO RINSE 1gal",12.35,37.05,86.45,49.4,86.45,111.15,98.8,0,12.35,74.1,61.75,61.75,691.6,GN
BW688694,"CHOCO CANDY, M&MS MILK 3.1z",21.72,41.63,1.81,0,235.3,130.32,226.25,34.39,0,0,0,0,691.42,GG
FLX30629857,"TUNA, RA CHUNK LIGHT 12oz/24",127.14,68.46,26.08,0,22.82,104.32,81.5,88.02,149.96,22.82,0,0,691.12,GG
BW664727,"SCRUB SPONGE, SCRUBBR 2PK",92.91,57.05,42.38,84.76,58.68,104.32,58.68,74.98,61.94,55.42,0,0,691.12,GN
71-13366,"BIBIGO, CHK & VEG MNI WNTN 24oz",89.55,0,268.65,0,39.6,89.55,44.55,0,0,0,0,159.2,691.1,GF
EM925A5ACHSS,"MICROWAVE, 0.9CF TOSHIBA S/S",0,0,172.72,0,0,172.72,172.72,172.72,0,0,0,0,690.88,GN
N9804,"POT, AKAO PREMIUM 22CM/36 GOLD",145.4,36.35,0,0,0,109.05,109.05,72.7,0,72.7,72.7,72.7,690.65,GN
VSI10069,"WAFERS, COLOMBINA VANILLA 8.4Z",73.63,91.54,73.63,191.04,0,0,47.76,97.51,67.66,0,0,47.76,690.53,GG
16774,"SAUCE, THAI PAD 8OZ/12",29.04,79.86,65.34,0,123.42,87.12,79.86,58.08,43.56,65.34,7.26,50.82,689.7,GG
FLX30626671,"VEGETABLE OIL, SS 64oz/9",0,0,0,0,0,0,0,0,0,89.91,329.67,269.73,689.31,GG
17-51319,"YOGURT, CHIOBANI BLK CHY FOB 5z",36.16,56.5,79.1,42.94,51.98,70.06,81.36,70.06,20.34,65.54,76.84,38.42,689.3,GC
GBI50579,"NOODLE, PALDO JMBO LCUP 110G/18",83.62,13.56,45.2,99.44,79.1,42.94,38.42,56.5,27.12,49.72,56.5,97.18,689.3,GG
ZUC1366250,"BODY WASH, KS 800ml 27oz/2",26.85,44.75,98.45,62.65,98.45,0,17.9,107.4,8.95,98.45,98.45,26.85,689.15,GH
SANKO-05520,RICE CRACKER YUKI NO YADO 20p/12,64.32,64.32,88.44,8.04,8.04,91.12,93.8,0,85.76,32.16,53.6,99.16,688.76,GG
GP250,"CELERY, HEARTS",18.6,55.8,52.08,44.64,59.52,33.48,0,29.76,29.76,122.76,107.88,133.92,688.2,GP
SKY17,"CRACKERS, SKYFLAKES GRLIC250g/30",0,92.31,21.72,54.3,0,101.36,63.35,54.3,14.48,142.99,61.54,81.45,687.8,GG
CPC00217,"SAUCE, RAGU RSTD GRLC PARM 16oz",122.59,0,74.75,59.8,0,0,29.9,41.86,0,98.67,158.47,101.66,687.7,GG
HE-MAOBAO,"DET, MAO BAO LIG W/BSODA 2000g/6",55.93,23.97,63.92,95.88,15.98,0,47.94,47.94,63.92,167.79,103.87,0,687.14,GH
PNG94567,"MOUTHWASH, CREST ADVPRPL 33.8z/6",7.99,23.97,63.92,23.97,79.9,103.87,31.96,39.95,71.91,71.91,63.92,103.87,687.14,GH
06-84088,"BEANS, EED KIDNEY  RED DRY 16z",88.14,58.76,103.96,42.94,42.94,72.32,33.9,36.16,61.02,33.9,38.42,74.58,687.04,GG
JHK60159,"CLEANER, PINESOL LEMONFRSH 60z/6",0,0,0,0,0,0,0,0,0,12.72,279.84,394.32,686.88,GN
17-40083,"CHEESE, EED MOZZARELLA SLICED 8z",63.65,36.85,60.3,20.1,56.95,97.15,90.45,10.05,107.2,83.75,43.55,16.75,686.75,GC
06-38546,"AVOCADO OIL, CC 17oz/6",39.8,49.75,109.45,59.7,9.95,49.75,89.55,59.7,89.55,89.55,29.85,9.95,686.55,GG
PHC48,"FEMININE WASH, PH-CARE CMFRT 150",59.85,63.84,71.82,71.82,31.92,55.86,31.92,87.78,47.88,0,23.94,139.65,686.28,GH
GP163,"PEACHES, FRESH 18#",0,0,31.92,0,0,3.99,163.59,223.44,207.48,55.86,0,0,686.28,GP
ZUS593426,"CEREAL, GM LUCKY CHARMS 23z/2",0,0,0,0,52.78,120.64,143.26,135.72,60.32,45.24,52.78,75.4,686.14,GG
18-92080,"MOUTHWASH, EQU SPR MINT 1lt/6",38.34,29.82,21.3,72.42,106.5,55.38,72.42,72.42,59.64,46.86,80.94,29.82,685.86,GH
TAKAG-NIS-28,"RAMEN, NISSIN CHKN 85g/90",0,45.36,76.86,70.56,27.72,65.52,56.7,76.86,65.52,79.38,75.6,45.36,685.44,GG
PNG06285,"SHAMP, H&S ITCHY SCALP 12.5z/6",40.32,67.2,47.04,53.76,67.2,60.48,53.76,26.88,47.04,60.48,107.52,53.76,685.44,GH
18-11820,"VITAMIN, NB B-12 1000MG-100CT/3",35.43,47.24,94.48,70.86,23.62,59.05,47.24,47.24,59.05,106.29,82.67,11.81,684.98,GH
ZUS980175322,"SPICE, MM CINNAMON GRND 18oz",87.15,74.7,62.25,0,87.15,149.4,24.9,62.25,37.35,49.8,49.8,0,684.75,GG
HOR13458,"CHILI, HORMEL TURKEY NO BEAN",11.16,37.2,26.04,85.56,11.16,104.16,133.92,81.84,44.64,78.12,66.96,3.72,684.48,GG
06-84086,"BEANS, EED BLK TURTLE 16z/12",118.56,52,99.84,24.96,74.88,20.8,33.28,20.8,41.6,43.68,79.04,74.88,684.32,GG
06-98190,"CHEX MIX, TRADITIONAL 8.75OZ/12",42.08,78.9,89.42,47.34,42.08,52.6,36.82,84.16,36.82,42.08,89.42,42.08,683.8,GG
ZUS980109414,"NUTS, MM MIXED DELUXE UNSLTD 34z",0,0,0,0,0,113.94,94.95,18.99,0,0,379.8,75.96,683.64,GG
HIC104543,GODIVA CARAMEL GIFT BOX SMALL,17.99,107.94,251.86,17.99,0,89.95,53.97,53.97,17.99,71.96,0,0,683.62,GG
ZUS98332037,"CHEESE SAUCE, MM CHEDDAR 106oz",0,29.08,130.86,14.54,0,14.54,203.56,43.62,116.32,14.54,43.62,72.7,683.38,GG
FLX4987801,"IC CRM, HD CHOCOLATE 28OZ/6",77.94,51.96,129.9,77.94,74.1,0,24.7,51.96,51.96,64.95,38.97,38.97,683.35,GF
06-67353,"SPICE, MC PARSLEY FLAKES .5oz/12",0,22.48,11.24,5.62,95.54,70.25,92.73,50.58,81.49,70.25,137.69,44.96,682.83,GG
06-82632,"PINEAPPLE, EED CHUNK IN JC 20oz",0,5.44,149.6,68,10.88,78.88,21.76,81.6,136,130.56,0,0,682.72,GG
GHXAUNU22ACN,"NUTELLA, HZLNT CHOC SPREAD 220g",0,0,89.46,217.26,242.82,21.3,12.78,21.3,0,0,0,76.68,681.6,GG
35-04778,"COFFEE, ILLY BLEND CLSC RST 8.8z",0,101.5,87,72.5,87,87,87,43.5,58,14.5,0,43.5,681.5,GG
24163,"PB, JIF EXT CRNCHY 28z/10",48.65,48.65,76.45,69.5,48.65,55.6,62.55,41.7,34.75,34.75,97.3,62.55,681.1,GG
ZUC433677,"SEASONING, MC MONTREAL STEAK 29z",23.08,69.24,0,69.24,69.24,46.16,103.86,115.4,23.08,11.54,57.7,92.32,680.86,GG
4098,"LISTERINE, COLGATE GOLD 1LTR/6",69.24,69.24,80.78,46.16,34.62,103.86,34.62,46.16,46.16,11.54,80.78,57.7,680.86,GH
ZUS885941,"PASTA, MACARONI & CHSE 7.25z/18",22.26,79.5,68.37,36.57,38.16,23.85,54.06,144.69,41.34,0,98.58,73.14,680.52,GG
JHK74965,"DIAPER, PAMPERS SWDDLR #2 84CT/1",0,22.68,45.36,113.4,45.36,68.04,45.36,45.36,68.04,113.4,113.4,0,680.4,GI
RSI86223,"DIAPER, PAMPER BABY DRY #3 104ct",22.68,181.44,362.88,68.04,45.36,0,0,0,0,0,0,0,680.4,GI
FLX20682215,"CHIPS, PRINGLES GRB N GO OG 2.36",83.62,164.98,27.12,0,61.02,151.42,146.9,45.2,0,0,0,0,680.26,GG
VSI128027,"CLEANER, AWESOME ALL PRPS 1gal",98.45,71.6,53.7,125.3,250.6,53.7,0,26.85,0,0,0,0,680.2,GN
39-45936,"SYRUP, TORANI SF VANILLA 25.35oz",62.65,107.4,44.75,71.6,143.2,44.75,80.55,26.85,8.95,35.8,35.8,17.9,680.2,GG
GRE09,"COFFEE, GT CHOCO 30g/240",50.75,30.25,60.25,60.25,91.25,38,87.75,14.25,53.5,86.25,22.5,85,680,GB
IG50350,"COOLER, IG 50qt PRFL II MAJ BLU",0,0,169.98,0,0,0,84.99,169.98,84.99,0,0,169.98,679.92,GN
KCG53746,"DEPEND, UNDRWR MEN XL 26ct/2",0,0,239.94,79.98,119.97,39.99,0,0,0,0,79.98,119.97,679.83,GH
EM925ACP-P2,"MICROWAVE, 0.9 B&D BLK SOLOwHNDL",0,169.95,0,169.95,0,0,0,339.9,0,0,0,0,679.8,GN
Y-NES-16146,"CHOC, KITKAT MINI OTONANO AMASA",27.6,55.2,27.6,6.9,75.9,51.75,31.05,55.2,55.2,48.3,110.4,134.55,679.65,GG
HIC140107,"GODIVA, CACAO 72% DARK 3.1z",82.55,0,0,0,0,82.55,76.2,95.25,25.4,38.1,107.95,171.45,679.45,GG
VSI50863,"PASTA, ALLEGRA PENNE RIGATE 1LB",0,57.24,181.26,116.07,69.96,34.98,22.26,108.12,27.03,31.8,0,30.21,678.93,GG
AMR03,"HAIR COLOR, AMIRS HENNA BROWN",24.7,59.85,39.9,73.15,58.9,51.3,78.85,45.6,81.7,43.7,64.6,56.05,678.3,GH
BW739550,"LIGHT BULB, DAYLIGHT LED 2PK/25",131.67,183.54,191.52,155.61,7.98,0,0,0,0,0,0,7.98,678.3,GN
904054,"KUMANGAI, APPLE TURNOVER",13.84,17.3,34.6,31.14,58.82,58.82,100.34,58.82,89.96,62.28,83.04,69.2,678.16,GG
Q59033,"OATS, QUAKER QCK 42z/12",0,0,0,0,0,0,0,0,0,0,279.6,398.43,678.03,GG
67702,"SEASONING, MC MONTREAL STK 3.4oz",55.44,49.28,43.12,30.8,36.96,43.12,36.96,58.52,40.04,77,80.08,126.28,677.6,GG
17-01572,"CHEESE, EED PARM GRTD 3oz/24",39.06,65.1,80.29,45.57,80.29,17.36,86.8,58.59,47.74,13.02,82.46,60.76,677.04,GC
EL001443,"SNACK, YANYAN MEIJI VAN 57G/80",11.44,0,90.48,122.72,35.36,35.36,45.76,72.8,48.88,59.28,44.72,110.24,677.04,GG
72483,"DRANO, PROF STRENGTH 32oz/12",91.85,41.75,58.45,33.4,41.75,33.4,141.95,75.15,33.4,41.75,33.4,50.1,676.35,GN
FUD01,"CAKE BAR, FUDGEE BARR CHOCO 40g",104,26,53.3,24.7,0,130,0,25.48,63.7,92.56,30.16,125.84,675.74,GG
BW165244,"BATTERIES, EVEREADY 4PK AAA SHD",116.82,124.74,127.71,78.21,53.46,85.14,65.34,23.76,0,0,0,0,675.18,GN
EL-HP1207,MEIJI HELLO PANDA DBL CHOCO 50G,0,0,114.4,128.96,44.72,42.64,119.6,62.4,44.72,44.72,58.24,14.56,674.96,GG
06-54325,"BF, GERBER OATMEAL CEREAL  8oz/6",66.08,9.44,47.2,47.2,56.64,51.92,84.96,51.92,66.08,66.08,56.64,70.8,674.96,GI
ZUC1308590,"MAGNESIUM, NM 400mg 150ct LIQGEL",80.97,26.99,0,80.97,0,80.97,80.97,0,80.97,80.97,80.97,80.97,674.75,GH
ZUS980177805,"GUMMY ROLL, FRUIT BY THE FT 48ct",0,274.89,124.95,0,0,174.93,0,0,0,0,99.96,0,674.73,GG
40602,"CAT FOOD, FRISKIES CHICKEN 5.5oz",68.37,47.73,24.51,36.12,64.5,82.56,38.7,46.44,68.37,72.24,73.53,51.6,674.67,GN
ZUC664927,"CEREAL, GM CINN TST CRNCH 49.5oz",57.4,71.75,28.7,86.1,14.35,71.75,71.75,57.4,28.7,43.05,43.05,100.45,674.45,GG
EV-ARIPAS330G,"DET, ARIEL PWD PASSION DWNY 300G",0,0,279.85,137.75,239.25,17.4,0,0,0,0,0,0,674.25,GN
06-40626,"CAT FOOD, FRSK BIT GRMT GRLL 5.5",36.54,42.84,70.56,138.6,0,0,41.58,56.7,80.64,0,44.1,162.54,674.1,GN
KCG51473,"DIAPER, HUGGIES S&D S5 JMB 22c/4",172.6,17.26,327.94,0,17.26,17.26,17.26,51.78,0,0,17.26,34.52,673.14,GI
16-03616,"LASAGNA, STOUFFER'S W/MEAT 90z/6",80.97,0,80.97,107.96,8.35,26.99,16.7,26.99,26.99,107.96,107.96,80.97,672.81,GF
75-13006,"CHEESE, EED MONT JACK SHRD  8oz",65.2,84.76,16.3,22.82,35.86,35.86,117.36,104.32,13.04,42.38,61.94,71.72,671.56,GC
5933-02,"CHIPS, FUNYUNS ON RINGS .75oz/44",65.61,67.23,36.45,95.58,46.98,75.33,95.58,42.93,0.81,61.56,9.72,73.71,671.49,GG
ZUS980172092,"VEGETABLE OIL, MM 3qrt/2",0,0,0,0,119.9,95.92,0,0,107.91,95.92,119.9,131.89,671.44,GG
FLX03,"FLANAX, NAPROXEN 275mg 10ct/50",64.62,64.62,75.39,35.9,46.67,46.67,125.65,43.08,10.77,43.08,39.49,75.39,671.33,GH
M0626,"SNACK, GLICO POCKY STWBRY 51g",0,0,0,0,0,90.63,173.31,144.69,63.6,39.75,76.32,82.68,670.98,GG
ZUC1186080,"PAPER CUP, DIXIE 12oz-100ct +LID",27.95,83.85,0,55.9,0,111.8,27.95,139.75,111.8,27.95,55.9,27.95,670.8,GN
S07V-251,"BASIN, PLASTIC ROUND 16.25""",95.76,31.92,55.86,107.73,51.87,27.93,75.81,39.9,15.96,3.99,99.75,63.84,670.32,GN
AIN-001H,"MACKEREL, SABA COCO DLUXE 15z/48",0,0,0,17.94,44.85,62.79,59.8,143.52,68.77,71.76,92.69,107.64,669.76,GG
ZUC1193197,"SEAWEED, KS ORG wSESAME 0.6z",0,0,0,0,0,0,0,0,0,110.41,342.09,217.2,669.7,GG
FLX30673455,"WIPES, SD DISINFEC FRESH 35ct/12",109.15,97.35,5.9,0,17.7,85.55,132.75,50.15,0,23.6,70.8,76.7,669.65,GN
BCBUR4800,"GAS BURNER, BAL HIGH PRESSURE",0,0,111.55,111.55,0,0,0,0,446.2,0,0,0,669.3,GN
HB37550,"RICE COOKER, HB 30CUP",148.7,74.35,74.35,74.35,74.35,74.35,0,74.35,0,0,74.35,0,669.15,GN
FLX20662836,"PUDDING, SNACK PK CHOC 4-3.25oz",16.32,51.68,48.96,16.32,27.2,38.08,78.88,51.68,59.84,125.12,78.88,76.16,669.12,GG
NP07062,"GRIDDLE, PRESTO 22""CERAMIC ELEC",0,55.75,55.75,0,111.5,111.5,0,0,0,0,55.75,278.75,669,GN
F3952,"FURIKAKE,  TAMAGO NORI 60G/30BTL",53.39,25.29,73.06,67.44,84.3,53.39,39.34,42.15,33.72,56.2,95.54,44.96,668.78,GG
PNG19496,"COND, PANTENE SMOOTH 10.4z/12",81.77,33.67,19.24,48.1,72.15,52.91,62.53,38.48,101.01,43.29,57.72,57.72,668.59,GH
IG00421,"WATER COOLER, IG 2gal COMM",44.54,133.62,133.62,0,133.62,44.54,0,44.54,44.54,0,0,89.08,668.1,GN
JHK20765,"CAKE MIX, BC CHOCO FUDGE 13.25z",76.2,53.34,81.28,40.64,58.42,25.4,55.88,152.4,55.88,33.02,35.56,0,668.02,GG
ZUS990000183,"SYRUP, PEARL MILLING QUAKER 64oz",262.8,0,0,0,0,0,0,43.8,21.9,142.35,0,197.1,667.95,GG
QUI305,"BOWL BRUSH/CADDY, QUICKIE 1CT/12",63.6,349.8,174.9,79.5,0,0,0,0,0,0,0,0,667.8,GN
DRW01,"BAR SOAP, DR. WONG SULFUR 135g",75.68,41.28,94.6,55.04,61.92,65.36,60.2,0,43,80.84,51.6,37.84,667.36,GH
ZUC1146605,"WATER, LACROIX LEM SPRK 12z/24",0,0,0,76.23,137.61,0,79.2,78.21,151.47,0,49.5,95.04,667.26,GB
124C,"MILK, FOREMOST UHT 1% LF 8oz/24",42.75,35.15,58.9,58.9,42.75,61.75,63.65,43.7,62.7,53.2,27.55,115.9,666.9,GB
5641,"HARTZ CONTROL, FOR DOG FLEAS 1ct",0,109.45,0,49.75,89.55,59.7,79.6,109.45,59.7,39.8,29.85,39.8,666.65,GN
ZUC208721,"FOOD WRAP, KS CLEAR 750ft/2",0,0,0,22.98,160.86,57.45,57.45,11.49,80.43,80.43,91.92,103.41,666.42,GN
PNG19534,"COND, PANTENE SMTH/SLEEK 25.1z",51.24,42.7,25.62,51.24,68.32,42.7,68.32,34.16,68.32,68.32,42.7,102.48,666.12,GH
BW832078,"WATER, ALKALINE 88 16oz/12",195.48,90.5,162.9,217.2,0,0,0,0,0,0,0,0,666.08,GB
55515,"TUNA, 555 CALDERETA 155g/50",34.65,66.99,70.07,56.98,78.54,61.6,36.96,60.06,67.76,48.51,27.72,56.21,666.05,GG
904026,"KUMANGAI, OATMEAL COOKIES",79.36,48.64,76.8,38.4,23.04,89.6,71.68,40.96,58.88,48.64,38.4,51.2,665.6,GG
EV-KTXWINGS,"PADS, KOTEX W/WINGS 8ct/48",26.1,14.5,17.4,24.65,55.1,15.95,76.85,149.35,178.35,107.3,0,0,665.55,GH
45-20084,"BEANS, EDEN BLACK ORGANIC 15z/12",9.44,99.12,250.16,0,0,0,0,61.36,146.32,89.68,9.44,0,665.52,GG
DAMMRKUMSC01,"CLEANER, KUAT AROMA CLN LAV 2L/6",10.9,5.45,0,16.35,98.1,70.85,0,0,0,76.3,152.6,234.35,664.9,GN
53836,"YOGURT, YOPLAIT PEACH 6OZ/12",25.65,39.15,98.55,39.15,70.2,76.95,67.5,48.6,35.1,63.45,51.3,48.6,664.2,GC
EL20057,"COCONUT MILK, HOSEN R&CRMY 400g",0,0,0,0,0,0,243.6,0,98.6,319,0,2.9,664.1,GG
EL107109,"RICE FLOUR, ERAWAN 600g/20",31.9,84.1,98.6,73.95,0,0,63.8,87,50.75,59.45,56.55,58,664.1,GG
EL-CB89229-6,"CHIPS, CALBEE POTATO BBQ 72g/20",29.4,68.6,26.95,75.95,68.6,58.8,169.05,41.65,29.4,39.2,53.9,2.45,663.95,GG
VER-02,"NOODLE, VERMICELLI LNGKU 400g/1",58.52,98.56,23.1,13.86,44.66,32.34,67.76,58.52,7.7,69.3,98.56,90.86,663.74,GG
06-21029,"CEREAL, EED HNY & OAT CLSTR 14.5",64.87,0,0,74.85,54.89,109.78,64.87,49.9,24.95,39.92,89.82,89.82,663.67,GG
PNG98792,"PADS, ALWAYS ULTRTHN SZ3 XLNG28c",0,23.7,15.8,55.3,0,39.5,86.9,110.6,94.8,0,31.6,205.4,663.6,GH
KEL31032,"POP TART, KEL FRSTD BLBRRY 3.67z",86.58,24.57,42.12,0,72.54,93.6,85.41,0,131.04,36.27,31.59,59.67,663.39,GG
JHK22356,"RAMEN, BOWL SAMYANG BULDK HLIME",0,0,164.15,0,0,23.45,227.8,110.55,0,0,20.1,117.25,663.3,GG
RB631150,"OVEN CLEANR, EASYOFF H/DTY 14.5z",191.76,215.73,199.75,47.94,0,7.99,0,0,0,0,0,0,663.17,GN
KEB12234,"CRACKERS, KEB CHEEZ IT 1.5oz/48",181.45,142.5,50.35,28.5,28.5,11.4,54.15,29.45,44.65,26.6,40.85,24.7,663.1,GG
LP42,"CILANTRO, LEAVES LOCAL 1PK",112.2,11.9,56.1,35.7,13.6,0,44.2,108.8,61.2,95.2,90.1,34,663,GP
OFF05,"OFF, INSECT REPELLENT LTION 50ml",133.35,7.62,53.34,99.06,0,0,0,114.3,3.81,26.67,121.92,102.87,662.94,GH
642347,"MOP HEAD, DO-IT COTTON 20OZ/12",9.08,18.16,18.16,54.48,18.16,9.08,27.24,190.68,81.72,36.32,199.76,0,662.84,GN
06-50212,"CAKE MIX, BC STRAWBERRY 15.25/12",60.23,28.53,44.38,123.63,38.04,12.68,19.02,98.27,34.87,19.02,145.82,38.04,662.53,GG
BIO15,"BAR SOAP, BIODERM COOL 135g/72",26.91,42.12,43.29,64.35,14.04,51.48,32.76,0,60.84,117,128.7,80.73,662.22,GH
CRE49,"COND, CREAMSILK BLUE 180ml/24",37.2,93,14.88,40.92,85.56,33.48,55.8,37.2,40.92,115.32,37.2,70.68,662.16,GH
LZ-FG05,"TRAY, BIO 125ct 5 COMP/4",31.52,94.56,47.28,15.76,47.28,157.6,47.28,0,157.6,15.76,47.28,0,661.92,GN
BTTLPURPLE18OZ,"WATER BOTTLE, PALAU PURPLE 18oz",38.16,25.44,38.16,25.44,38.16,38.16,114.48,101.76,38.16,38.16,50.88,114.48,661.44,GN
71-44472,"MOZZARELLA STICKS, EED W/MAR 11z",71.88,53.91,137.77,65.89,63.24,0,52.7,0,0,29.95,143.76,41.93,661.03,GF
TP30,"MUSHROOM, WHITE BEECH TAIWAN",40.8,57.12,13.6,97.92,46.24,62.56,24.48,84.32,65.28,0,152.32,16.32,660.96,GP
JCS36036,"T/BRUSH, SHINY FRESH FLEXIBLE 3P",24.48,40.8,27.2,38.08,76.16,57.12,57.12,48.96,100.64,57.12,51.68,81.6,660.96,GH
72/PN040,"NUTS, TAI SUN PISTACHIOS 40G",97.51,95.52,210.94,0,137.31,7.96,9.95,0,3.98,0,0,97.51,660.68,GG
